State,Year,Crime,Crime_Description,City,Evidence_Details,Police_Department,Case_Status,Convictions,Acquittals
West Bengal,2006,Human Trafficking,Human smuggling operation intercepted at the border,Baharampur,Confession statements,Major Crimes Unit,Closed,Convicted,Yes
Tamil Nadu,1985,Armed Robbery,Jewelry store heist involving a group of armed robbers,Thoothukkudi,Phone records,State Police Department,Under Investigation,Partially convicted,Yes
Karnataka,2016,White-Collar Crime,Corporate espionage by rival companies,Belgaum,Forensic analysis reports,Special Operations Division,Open,Convicted,No
Karnataka,1974,Embezzlement,Misappropriation of funds by a financial advisor,Davanagere,Expert witness testimony,Victim Services Division,Closed,Partially convicted,Yes
Goa,1979,Fraud,Insurance fraud scheme,Vasco da Gama,Confession statements,Victim Services Division,Closed,Not convicted,No
Madhya Pradesh,1975,Domestic Violence,Child abuse within a family,Gwalior,Crime scene photographs,Homicide Unit,Under Investigation,Convicted,Yes
Telangana,1979,Terrorist Attack,"Cyberterrorists hack into critical infrastructure, causing widespread chaos",Hyderabad,Expert witness testimony,City Police Department,Open,Convicted,Yes
Manipur,2022,Domestic Violence,Spousal abuse in a domestic setting,Ukhrul,Financial transactions,Narcotics Division,Open,Not convicted,Yes
Maharashtra,1980,White-Collar Crime,Corporate espionage by rival companies,Vasai-Virar,"Physical evidence (e.g., fingerprints, DNA)",Narcotics Division,Closed,Not convicted,No
Arunachal Pradesh,1972,Organized Crime,"Gang violence escalates, leading to multiple homicides",Khonsa,Confession statements,Victim Services Division,Open,Partially convicted,No
Haryana,2016,Fraud,Credit card fraud,Panchkula,"Physical evidence (e.g., fingerprints, DNA)",Victim Services Division,Closed,Not convicted,Yes
Arunachal Pradesh,2020,Homicide,Gang-related shooting in a city street,Khonsa,Financial transactions,Community Policing Unit,Closed,Convicted,No
Madhya Pradesh,2014,Kidnapping,Virtual kidnapping scam,Indore,Property ownership documents,City Police Department,Closed,Convicted,Yes
Haryana,1972,Embezzlement,Employee theft from a retail store,Panchkula,Expert witness testimony,Criminal Investigation Division,Open,Not convicted,No
Maharashtra,2021,Forgery,Counterfeit currency operation,Nashik,Bank statements,Community Policing Unit,Open,Not convicted,No
Sikkim,2008,Child Abduction,Child abduction by a stranger at a playground,Gyalshing,Property ownership documents,Special Investigations Unit,Closed,Convicted,Yes
West Bengal,2000,Hate Crime,Transgender person assaulted in a hate crime fueled by prejudice,Siliguri,"Digital evidence (e.g., emails, text messages)",Metropolitan Police Department,Under Investigation,Convicted,Yes
Punjab,1975,Armed Robbery,Convenience store robbed at gunpoint by two assailants,Bathinda,Character witness testimonies,SWAT Team,Under Investigation,Partially convicted,No
Nagaland,2001,Armed Robbery,Jewelry store heist involving a group of armed robbers,Wokha,Witness statements,Special Operations Division,Under Investigation,Not convicted,Yes
Himachal Pradesh,2020,Public Corruption,Government contractor charged with fraud in connection with public projects,Nahan,Character witness testimonies,Forensic Science Division,Open,Partially convicted,No
Goa,2015,Domestic Violence,Child abuse within a family,Vasco da Gama,Confession statements,Cyber Crimes Unit,Under Investigation,Convicted,No
Tripura,2017,Vandalism,Smashing car windows in a parking lot,Agartala,Crime scene photographs,Narcotics Division,Closed,Partially convicted,Yes
Andhra Pradesh,1971,Drug Possession,Possession of illegal substances during a traffic stop,Rajahmundry,Witness statements,Fraud Investigation Unit,Closed,Partially convicted,Yes
Telangana,1997,Assault,Street fight between two individuals,Adilabad,"Physical evidence (e.g., fingerprints, DNA)",Cyber Crimes Unit,Open,Not convicted,Yes
Kerala,2012,Robbery,Bank robbery with hostages,Kochi,Audio recordings,Cyber Crimes Unit,Closed,Partially convicted,No
Maharashtra,1979,Domestic Violence,Spousal abuse in a domestic setting,Kalyan-Dombivali,Bank statements,Special Operations Division,Under Investigation,Partially convicted,Yes
Jharkhand,1980,Organized Crime,"Drug cartel turf war erupts, resulting in wave of violence in the city",Giridih,"Physical evidence (e.g., fingerprints, DNA)",Metropolitan Police Department,Open,Convicted,No
Arunachal Pradesh,1994,Public Corruption,Government contractor charged with fraud in connection with public projects,Daporijo,Phone records,Highway Patrol,Closed,Not convicted,Yes
Odisha,1972,Fraudulent Schemes,Telemarketing scam deceives elderly victims into wiring money,Balasore,Phone records,Fraud Investigation Unit,Under Investigation,Convicted,No
Assam,1991,Child Abduction,Child abduction by a stranger at a playground,Tezpur,Vehicle registration records,Forensic Science Division,Open,Not convicted,No
Himachal Pradesh,2019,Drug Trafficking,Undercover sting operation targeting drug dealers in a high-crime area,Solan,"Digital evidence (e.g., emails, text messages)",Criminal Investigation Division,Under Investigation,Partially convicted,Yes
Mizoram,1979,Hate Crime,"Arson at mosque during prayer service, causing extensive damage",Serchhip,Photographic evidence,Metropolitan Police Department,Open,Not convicted,No
Kerala,2003,Public Corruption,"Judicial bribery scandal rocks the legal system, leading to multiple arrests",Kozhikode,Financial transactions,Bureau of Investigation,Closed,Convicted,No
Maharashtra,1995,Car Theft,Luxury SUV stolen from a suburban driveway overnight,Nashik,Confession statements,Cyber Crimes Unit,Under Investigation,Partially convicted,Yes
Nagaland,1973,Money Laundering,Real estate purchases made with illegally obtained cash to launder funds,Phek,Eyewitness accounts,Bureau of Investigation,Under Investigation,Partially convicted,Yes
Mizoram,2020,White-Collar Crime,Counterfeiting money operation,Saiha,Photographic evidence,Highway Patrol,Open,Convicted,Yes
West Bengal,2020,Fraud,Credit card fraud,Baharampur,Property ownership documents,Forensic Science Division,Under Investigation,Convicted,No
Himachal Pradesh,1993,Human Trafficking,"Undercover operation infiltrates human trafficking network, making arrests",Shimla,Eyewitness accounts,Fraud Investigation Unit,Under Investigation,Convicted,No
Uttarakhand,1998,Terrorism,Bombing at a crowded public event,Roorkee,Medical reports,Community Policing Unit,Open,Not convicted,Yes
Punjab,2012,Child Abduction,Parental kidnapping during a custody dispute,Abohar,Medical reports,State Police Department,Closed,Not convicted,Yes
Gujarat,1973,Theft,Pickpocketing in a crowded market,Vadodara,Video surveillance footage,Special Operations Division,Under Investigation,Partially convicted,No
West Bengal,2017,Child Abduction,Amber Alert issued for missing child,Bishnupur,Property ownership documents,Bureau of Investigation,Open,Convicted,No
Gujarat,1989,Public Corruption,"Judicial bribery scandal rocks the legal system, leading to multiple arrests",Jamnagar,Vehicle registration records,Forensic Science Division,Closed,Convicted,Yes
Odisha,1997,Hate Crime,Racist hate group targets minority community with threats and intimidation,Brahmapur,Forensic analysis reports,Bureau of Investigation,Closed,Partially convicted,Yes
Uttar Pradesh,2021,Drug Possession,Possession of illegal substances during a traffic stop,Bareilly,Video surveillance footage,SWAT Team,Open,Not convicted,No
Madhya Pradesh,1982,Vandalism,Graffiti on public property,Sagar,Eyewitness accounts,Highway Patrol,Closed,Convicted,No
Assam,2008,Arson,Wildfire arson in a forest,Bongaigaon,Witness statements,Special Investigations Unit,Open,Partially convicted,No
Himachal Pradesh,2010,Public Corruption,Elected official arrested for accepting bribes in exchange for political favors,Bilaspur,"Digital evidence (e.g., emails, text messages)",Major Crimes Unit,Closed,Partially convicted,No
Odisha,2002,Domestic Violence,Stalking by an ex-partner,Cuttack,Video surveillance footage,Forensic Science Division,Closed,Not convicted,Yes
Uttar Pradesh,2013,Robbery,Mugging in a dark alley,Varanasi,Property ownership documents,Narcotics Division,Closed,Partially convicted,Yes
West Bengal,2015,Domestic Violence,Stalking by an ex-partner,Durgapur,Bank statements,Traffic Enforcement Unit,Closed,Convicted,No
Jharkhand,2000,Public Intoxication,Drunken disorderly conduct at a bar,Hazaribagh,Audio recordings,Bureau of Investigation,Closed,Not convicted,No
Punjab,2017,Public Corruption,Government contractor charged with fraud in connection with public projects,Abohar,"Physical evidence (e.g., fingerprints, DNA)",Highway Patrol,Closed,Partially convicted,No
Nagaland,2010,Drug Possession,Drug trafficking in a residential area,Zunheboto,Photographic evidence,Highway Patrol,Open,Convicted,No
Gujarat,1981,Hate Crime,Racist hate group targets minority community with threats and intimidation,Rajkot,Vehicle registration records,Forensic Science Division,Open,Partially convicted,No
Kerala,2017,Assault,Street fight between two individuals,Malappuram,Vehicle registration records,Cyber Crimes Unit,Closed,Partially convicted,No
Odisha,1990,Homicide,Domestic murder-suicide,Sambalpur,Photographic evidence,Homicide Unit,Under Investigation,Not convicted,No
Bihar,2002,Robbery,Bank robbery with hostages,Purnia,Crime scene photographs,Traffic Enforcement Unit,Open,Convicted,No
Andhra Pradesh,1986,Arson,Arson for insurance fraud,Vijayawada,Video surveillance footage,State Police Department,Closed,Partially convicted,Yes
Mizoram,1972,Robbery,Bank robbery with hostages,Serchhip,Video surveillance footage,Community Policing Unit,Open,Partially convicted,Yes
Andhra Pradesh,1972,Burglary,Office burglary during the night,Anantapur,Bank statements,Traffic Enforcement Unit,Open,Not convicted,Yes
Jharkhand,2016,Embezzlement,Corporate embezzlement scheme,Medininagar,Phone records,Victim Services Division,Closed,Not convicted,No
Chhattisgarh,1987,Fraud,Insurance fraud scheme,Korba,Crime scene photographs,City Police Department,Under Investigation,Partially convicted,Yes
Manipur,2006,Kidnapping,Virtual kidnapping scam,Yairipok,"Digital evidence (e.g., emails, text messages)",Highway Patrol,Closed,Convicted,Yes
Mizoram,2023,Armed Robbery,Masked gunmen hold up a bank with assault rifles,Serchhip,Photographic evidence,Narcotics Division,Closed,Not convicted,No
Chhattisgarh,2023,White-Collar Crime,Insider trading on the stock market,Bilaspur,Audio recordings,Cyber Crimes Unit,Closed,Not convicted,Yes
Karnataka,1996,Drug Trafficking,Drug kingpin arrested after years of investigation by law enforcement,Hubli,Medical reports,State Police Department,Open,Not convicted,No
Manipur,1979,Armed Robbery,Masked gunmen hold up a bank with assault rifles,Ukhrul,Photographic evidence,Homicide Unit,Closed,Not convicted,No
Kerala,2016,Money Laundering,Shell corporations established to disguise illicit funds as legitimate income,Palakkad,Video surveillance footage,Fraud Investigation Unit,Open,Not convicted,Yes
Meghalaya,2008,Child Abduction,Parental kidnapping during a custody dispute,Williamnagar,Medical reports,State Police Department,Open,Not convicted,Yes
Manipur,1999,Vandalism,Graffiti on public property,Thoubal,"Physical evidence (e.g., fingerprints, DNA)",Metropolitan Police Department,Closed,Convicted,Yes
Jharkhand,1985,Burglary,Break-in at a suburban home,Dhanbad,Vehicle registration records,Metropolitan Police Department,Open,Not convicted,Yes
Nagaland,2008,Money Laundering,Offshore bank accounts utilized to conceal proceeds from criminal activities,Mon,Audio recordings,SWAT Team,Open,Partially convicted,Yes
Odisha,1989,Burglary,Break-in at a suburban home,Bhubaneswar,Photographic evidence,City Police Department,Open,Not convicted,No
Goa,1986,Cybercrime,Identity theft through phishing emails,Bicholim,Photographic evidence,K-9 Unit,Under Investigation,Convicted,Yes
Haryana,2017,Car Theft,"Chop shop operation busted, dismantling stolen cars for parts",Sonipat,Confession statements,Highway Patrol,Under Investigation,Convicted,Yes
Tamil Nadu,2020,Assault,Physical altercation at a bar,Chennai,Photographic evidence,Metropolitan Police Department,Under Investigation,Partially convicted,Yes
Madhya Pradesh,1978,Drug Possession,Possession of illegal substances during a traffic stop,Dewas,Medical reports,Bureau of Investigation,Closed,Partially convicted,No
Bihar,1999,Theft,Package theft from porches,Munger,Forensic analysis reports,Metropolitan Police Department,Under Investigation,Not convicted,Yes
Telangana,1976,Cybercrime,Ransomware attack on a business network,Karimnagar,Eyewitness accounts,Traffic Enforcement Unit,Closed,Partially convicted,Yes
Karnataka,2019,Vandalism,Defacing a monument,Bijapur,Bank statements,Narcotics Division,Open,Convicted,Yes
Gujarat,1974,Assault,Domestic dispute turned violent,Vadodara,Audio recordings,State Police Department,Closed,Not convicted,No
Chhattisgarh,1981,Fraudulent Schemes,Telemarketing scam deceives elderly victims into wiring money,Ambikapur,"Physical evidence (e.g., fingerprints, DNA)",Special Investigations Unit,Closed,Convicted,No
Uttar Pradesh,2017,Kidnapping,Hostage situation at a bank,Moradabad,Audio recordings,Metropolitan Police Department,Under Investigation,Convicted,Yes
Tamil Nadu,2005,Public Corruption,Elected official arrested for accepting bribes in exchange for political favors,Tiruppur,Audio recordings,Special Investigations Unit,Closed,Not convicted,Yes
Gujarat,2019,White-Collar Crime,Counterfeiting money operation,Bharuch,Medical reports,Forensic Science Division,Under Investigation,Not convicted,No
Madhya Pradesh,2006,Theft,Pickpocketing in a crowded market,Satna,Vehicle registration records,Special Investigations Unit,Open,Partially convicted,Yes
Odisha,2008,Arson,Arson for insurance fraud,Bhubaneswar,Confession statements,Major Crimes Unit,Closed,Partially convicted,Yes
Arunachal Pradesh,1975,Drug Possession,Drug trafficking in a residential area,Aalo,Crime scene photographs,Traffic Enforcement Unit,Closed,Partially convicted,No
Telangana,1987,Terrorism,Chemical attack in a subway station,Mahbubnagar,Audio recordings,Victim Services Division,Open,Not convicted,No
Punjab,1991,Human Trafficking,"Undercover operation infiltrates human trafficking network, making arrests",Hoshiarpur,Video surveillance footage,Victim Services Division,Under Investigation,Convicted,No
Assam,1991,Human Trafficking,Victims of human trafficking rescued from underground brothel,Nagaon,Medical reports,SWAT Team,Under Investigation,Partially convicted,No
Manipur,1988,Homicide,Mysterious death investigation,Jiribam,Phone records,Victim Services Division,Closed,Partially convicted,Yes
Bihar,1999,Organized Crime,"Drug cartel turf war erupts, resulting in wave of violence in the city",Patna,"Physical evidence (e.g., fingerprints, DNA)",Fraud Investigation Unit,Open,Partially convicted,Yes
Haryana,1990,Drug Possession,Possession of illegal substances during a traffic stop,Yamunanagar,Vehicle registration records,Bureau of Investigation,Under Investigation,Not convicted,No
Himachal Pradesh,1978,Terrorism,Chemical attack in a subway station,Kangra,Property ownership documents,Victim Services Division,Under Investigation,Convicted,No
Haryana,2003,Robbery,Bank robbery with hostages,Hisar,Vehicle registration records,Forensic Science Division,Under Investigation,Partially convicted,No
Andhra Pradesh,1975,Public Corruption,Government contractor charged with fraud in connection with public projects,Kakinada,Expert witness testimony,Narcotics Division,Under Investigation,Partially convicted,No
Kerala,1980,Public Corruption,Elected official arrested for accepting bribes in exchange for political favors,Kannur,Bank statements,Traffic Enforcement Unit,Under Investigation,Partially convicted,Yes
Himachal Pradesh,1999,Child Abduction,Amber Alert issued for missing child,Shimla,Forensic analysis reports,Community Policing Unit,Open,Convicted,No
Kerala,2005,Cybercrime,Social media account hacking,Thiruvananthapuram,Phone records,Homicide Unit,Closed,Convicted,Yes
Tamil Nadu,1974,White-Collar Crime,Insider trading on the stock market,Tiruchirappalli,Video surveillance footage,Fraud Investigation Unit,Open,Convicted,Yes
Kerala,2001,Human Trafficking,"Undercover operation infiltrates human trafficking network, making arrests",Thiruvananthapuram,Audio recordings,State Police Department,Closed,Not convicted,Yes
Tripura,1971,Public Corruption,"Judicial bribery scandal rocks the legal system, leading to multiple arrests",Sabroom,Financial transactions,Narcotics Division,Closed,Partially convicted,No
Andhra Pradesh,1978,Robbery,Armed robbery at a convenience store,Anantapur,Audio recordings,Homicide Unit,Under Investigation,Partially convicted,Yes
Uttarakhand,2005,Cybercrime,Social media account hacking,Haridwar,Phone records,Cyber Crimes Unit,Open,Partially convicted,Yes
Telangana,1998,Burglary,Office burglary during the night,Karimnagar,Forensic analysis reports,Fraud Investigation Unit,Closed,Convicted,Yes
Himachal Pradesh,1975,Terrorist Attack,"Cyberterrorists hack into critical infrastructure, causing widespread chaos",Kangra,Medical reports,Victim Services Division,Under Investigation,Not convicted,No
Madhya Pradesh,1977,Human Trafficking,"Sex trafficking ring exposed, rescuing victims from captivity",Dewas,Crime scene photographs,Narcotics Division,Closed,Convicted,Yes
Jharkhand,2010,Public Intoxication,Drunken disorderly conduct at a bar,Giridih,"Physical evidence (e.g., fingerprints, DNA)",State Police Department,Under Investigation,Not convicted,Yes
Rajasthan,1998,Assault,Physical altercation at a bar,Pali,Medical reports,Highway Patrol,Under Investigation,Not convicted,No
Maharashtra,1977,Organized Crime,"Gang violence escalates, leading to multiple homicides",Mumbai,"Digital evidence (e.g., emails, text messages)",Highway Patrol,Open,Not convicted,Yes
Manipur,1992,Human Trafficking,"Sex trafficking ring exposed, rescuing victims from captivity",Imphal,Property ownership documents,State Police Department,Closed,Convicted,Yes
Bihar,1997,Robbery,Bank robbery with hostages,Katihar,Video surveillance footage,Narcotics Division,Open,Partially convicted,No
Haryana,1987,Armed Robbery,Masked gunmen hold up a bank with assault rifles,Hisar,"Physical evidence (e.g., fingerprints, DNA)",Highway Patrol,Closed,Convicted,No
Bihar,1990,Terrorist Attack,Terrorist cell carries out coordinated attacks on public transportation,Begusarai,Medical reports,Special Operations Division,Under Investigation,Not convicted,Yes
Assam,1994,Robbery,Bank robbery with hostages,Dibrugarh,Forensic analysis reports,Victim Services Division,Under Investigation,Not convicted,No
Telangana,1983,Armed Robbery,Masked gunmen hold up a bank with assault rifles,Warangal,Witness statements,Highway Patrol,Closed,Partially convicted,No
Sikkim,1971,Burglary,Office burglary during the night,Gangtok,Financial transactions,Special Operations Division,Closed,Not convicted,Yes
Punjab,1997,Money Laundering,Shell corporations established to disguise illicit funds as legitimate income,Patiala,Audio recordings,Special Investigations Unit,Open,Not convicted,Yes
Chhattisgarh,1981,Vandalism,Smashing car windows in a parking lot,Durg,Expert witness testimony,Community Policing Unit,Closed,Partially convicted,Yes
Punjab,1978,Public Intoxication,Public urination in a city park,Batala,Financial transactions,Special Operations Division,Under Investigation,Partially convicted,Yes
Uttarakhand,2017,Kidnapping,Child abduction from a playground,Pithoragarh,Crime scene photographs,City Police Department,Closed,Convicted,Yes
Goa,2015,Armed Robbery,Armored truck hijacked by criminals wielding handguns,Ponda,Confession statements,Homicide Unit,Closed,Not convicted,Yes
Chhattisgarh,1977,Domestic Violence,Stalking by an ex-partner,Durg,Bank statements,Special Investigations Unit,Closed,Convicted,No
West Bengal,1983,Forgery,Counterfeit currency operation,Kharagpur,Witness statements,Fraud Investigation Unit,Closed,Partially convicted,No
Tamil Nadu,1986,Terrorist Attack,"Suicide bombing targets crowded marketplace, resulting in mass casualties",Thoothukkudi,Financial transactions,Highway Patrol,Closed,Partially convicted,No
Odisha,1986,Fraud,Insurance fraud scheme,Balasore,Expert witness testimony,Criminal Investigation Division,Open,Convicted,No
Arunachal Pradesh,2024,Cybercrime,Identity theft through phishing emails,Tezu,Medical reports,Criminal Investigation Division,Open,Convicted,No
Telangana,1979,Vandalism,Graffiti on public property,Khammam,Vehicle registration records,Highway Patrol,Open,Not convicted,Yes
Himachal Pradesh,2014,Fraudulent Schemes,Online phishing scam tricks users into revealing personal information,Una,"Digital evidence (e.g., emails, text messages)",Narcotics Division,Under Investigation,Not convicted,Yes
Kerala,1977,Human Trafficking,"Sex trafficking ring exposed, rescuing victims from captivity",Palakkad,Audio recordings,Traffic Enforcement Unit,Under Investigation,Partially convicted,No
Arunachal Pradesh,2000,Child Abduction,Amber Alert issued for missing child,Aalo,Character witness testimonies,K-9 Unit,Under Investigation,Convicted,Yes
Arunachal Pradesh,1979,Terrorist Attack,"Cyberterrorists hack into critical infrastructure, causing widespread chaos",Along,Confession statements,SWAT Team,Closed,Partially convicted,No
West Bengal,1970,Fraudulent Schemes,Online phishing scam tricks users into revealing personal information,Bishnupur,Bank statements,Homicide Unit,Closed,Convicted,No
Uttarakhand,1984,Fraud,Tax evasion,Kotdwara,Character witness testimonies,Victim Services Division,Under Investigation,Convicted,Yes
Madhya Pradesh,1991,Public Corruption,Government contractor charged with fraud in connection with public projects,Ratlam,"Digital evidence (e.g., emails, text messages)",Community Policing Unit,Open,Convicted,Yes
Odisha,2018,Forgery,Forgery of legal documents for identity theft,Puri,Financial transactions,Criminal Investigation Division,Under Investigation,Partially convicted,Yes
Punjab,1984,Public Corruption,Corrupt city official siphons public funds for personal use,Pathankot,Confession statements,Victim Services Division,Under Investigation,Not convicted,Yes
Bihar,1989,Human Trafficking,"Forced labor operation discovered, exploiting migrant workers",Muzaffarpur,Expert witness testimony,Metropolitan Police Department,Under Investigation,Convicted,Yes
Rajasthan,2009,Organized Crime,"Drug cartel turf war erupts, resulting in wave of violence in the city",Bhilwara,Phone records,Cyber Crimes Unit,Under Investigation,Not convicted,Yes
Odisha,2019,Terrorist Attack,Terrorist cell carries out coordinated attacks on public transportation,Berhampur,Video surveillance footage,Victim Services Division,Open,Not convicted,No
Odisha,1997,Vandalism,Defacing a monument,Sambalpur,"Physical evidence (e.g., fingerprints, DNA)",Homicide Unit,Under Investigation,Not convicted,No
Nagaland,2019,Robbery,Mugging in a dark alley,Tuensang,Financial transactions,Fraud Investigation Unit,Under Investigation,Convicted,No
Meghalaya,2016,Robbery,Armed robbery at a convenience store,Baghmara,Forensic analysis reports,Special Operations Division,Under Investigation,Partially convicted,Yes
Odisha,2001,Public Intoxication,Public urination in a city park,Berhampur,Financial transactions,Community Policing Unit,Open,Not convicted,Yes
Chhattisgarh,1975,White-Collar Crime,Corporate espionage by rival companies,Korba,Forensic analysis reports,State Police Department,Open,Partially convicted,Yes
Nagaland,2023,Public Corruption,Elected official arrested for accepting bribes in exchange for political favors,Mokokchung,"Physical evidence (e.g., fingerprints, DNA)",Community Policing Unit,Open,Convicted,No
Nagaland,1980,Robbery,Mugging in a dark alley,Longleng,"Digital evidence (e.g., emails, text messages)",Homicide Unit,Under Investigation,Convicted,Yes
Jharkhand,1997,Money Laundering,Front company used to launder drug money through legitimate business transactions,Jamshedpur,Character witness testimonies,Homicide Unit,Open,Not convicted,Yes
Meghalaya,1993,Money Laundering,Shell corporations established to disguise illicit funds as legitimate income,Shillong,Confession statements,Highway Patrol,Open,Convicted,No
Kerala,1982,Terrorist Attack,"Suicide bombing targets crowded marketplace, resulting in mass casualties",Kannur,Forensic analysis reports,City Police Department,Under Investigation,Convicted,No
West Bengal,1989,Fraudulent Schemes,"Ponzi scheme collapses, defrauding investors of millions of dollars",Baharampur,Crime scene photographs,Fraud Investigation Unit,Closed,Partially convicted,No
Arunachal Pradesh,2001,Organized Crime,"Gang violence escalates, leading to multiple homicides",Khonsa,Financial transactions,Homicide Unit,Open,Convicted,Yes
Goa,1970,Terrorist Attack,"Suicide bombing targets crowded marketplace, resulting in mass casualties",Bicholim,"Digital evidence (e.g., emails, text messages)",Bureau of Investigation,Under Investigation,Convicted,No
Maharashtra,1984,Hate Crime,"Arson at mosque during prayer service, causing extensive damage",Mumbai,Witness statements,Narcotics Division,Open,Partially convicted,No
Tamil Nadu,1970,Assault,Domestic dispute turned violent,Vellore,Character witness testimonies,Homicide Unit,Closed,Partially convicted,Yes
Goa,2017,Forgery,Check forgery at a bank,Bicholim,Bank statements,State Police Department,Closed,Partially convicted,Yes
Rajasthan,2004,Forgery,Counterfeit currency operation,Alwar,Expert witness testimony,Major Crimes Unit,Open,Partially convicted,No
Tripura,1973,Armed Robbery,Jewelry store heist involving a group of armed robbers,Dharmanagar,Witness statements,Cyber Crimes Unit,Open,Convicted,No
Meghalaya,2019,Domestic Violence,Spousal abuse in a domestic setting,Baghmara,Forensic analysis reports,Special Investigations Unit,Open,Partially convicted,Yes
Sikkim,2013,Kidnapping,Hostage situation at a bank,Rangpo,"Physical evidence (e.g., fingerprints, DNA)",Special Operations Division,Open,Not convicted,Yes
Kerala,2018,Terrorist Attack,Terrorist cell carries out coordinated attacks on public transportation,Malappuram,Photographic evidence,Community Policing Unit,Under Investigation,Partially convicted,Yes
Punjab,2023,Cybercrime,Social media account hacking,Patiala,Vehicle registration records,Bureau of Investigation,Open,Convicted,No
Goa,2015,Public Corruption,Government contractor charged with fraud in connection with public projects,Sanquelim,"Physical evidence (e.g., fingerprints, DNA)",Special Investigations Unit,Closed,Convicted,No
Jharkhand,1999,Arson,Wildfire arson in a forest,Medininagar,Financial transactions,SWAT Team,Open,Convicted,Yes
Telangana,2017,White-Collar Crime,Corporate espionage by rival companies,Hyderabad,Bank statements,Special Investigations Unit,Under Investigation,Not convicted,Yes
Maharashtra,1974,Cybercrime,Identity theft through phishing emails,Kalyan-Dombivali,Witness statements,Homicide Unit,Open,Convicted,Yes
Tripura,1988,Sexual Assault,Date rape at a college party,Dharmanagar,Character witness testimonies,Forensic Science Division,Closed,Not convicted,Yes
Meghalaya,1974,White-Collar Crime,Corporate espionage by rival companies,Baghmara,"Digital evidence (e.g., emails, text messages)",Cyber Crimes Unit,Closed,Convicted,Yes
Goa,1975,Terrorism,Chemical attack in a subway station,Mormugao,Video surveillance footage,Metropolitan Police Department,Closed,Convicted,Yes
Gujarat,1980,Homicide,Gang-related shooting in a city street,Bhavnagar,Property ownership documents,Homicide Unit,Under Investigation,Partially convicted,No
Chhattisgarh,1992,White-Collar Crime,Insider trading on the stock market,Raipur,Witness statements,Criminal Investigation Division,Under Investigation,Convicted,Yes
Arunachal Pradesh,2013,Terrorist Attack,Terrorist cell carries out coordinated attacks on public transportation,Naharlagun,"Digital evidence (e.g., emails, text messages)",SWAT Team,Closed,Partially convicted,Yes
Rajasthan,1987,Organized Crime,Organized crime syndicate implicated in large-scale money laundering operation,Sikar,Property ownership documents,State Police Department,Closed,Partially convicted,No
Rajasthan,1988,Human Trafficking,"Sex trafficking ring exposed, rescuing victims from captivity",Bikaner,Medical reports,Community Policing Unit,Under Investigation,Not convicted,No
Rajasthan,1983,Terrorism,Cyberterrorism targeting critical infrastructure,Pali,Property ownership documents,Community Policing Unit,Under Investigation,Convicted,Yes
Goa,1978,Child Abduction,Child abduction by a stranger at a playground,Valpoi,Bank statements,Special Investigations Unit,Under Investigation,Partially convicted,No
West Bengal,2010,Terrorist Attack,"Cyberterrorists hack into critical infrastructure, causing widespread chaos",Kolkata,Eyewitness accounts,SWAT Team,Open,Not convicted,No
Nagaland,2023,Organized Crime,"Illegal gambling ring busted, dismantling criminal enterprise",Mokokchung,Vehicle registration records,Fraud Investigation Unit,Under Investigation,Not convicted,Yes
Nagaland,2008,Robbery,Bank robbery with hostages,Mon,Confession statements,Special Investigations Unit,Open,Partially convicted,No
Himachal Pradesh,2009,Kidnapping,Child abduction from a playground,Una,Expert witness testimony,Victim Services Division,Closed,Partially convicted,Yes
Andhra Pradesh,1970,Cybercrime,Ransomware attack on a business network,Anantapur,Medical reports,Narcotics Division,Open,Convicted,No
Gujarat,2021,Cybercrime,Social media account hacking,Rajkot,"Digital evidence (e.g., emails, text messages)",Special Investigations Unit,Under Investigation,Partially convicted,Yes
Kerala,2017,Cybercrime,Social media account hacking,Thiruvananthapuram,Bank statements,Community Policing Unit,Closed,Not convicted,No
Maharashtra,1991,Public Corruption,Police officers implicated in drug trafficking ring,Aurangabad,Character witness testimonies,Bureau of Investigation,Under Investigation,Not convicted,No
Assam,1975,Drug Trafficking,Drug kingpin arrested after years of investigation by law enforcement,Bongaigaon,Confession statements,Traffic Enforcement Unit,Open,Partially convicted,No
Rajasthan,2021,Public Corruption,Police officers implicated in drug trafficking ring,Pali,Crime scene photographs,Fraud Investigation Unit,Open,Partially convicted,Yes
Goa,2003,Drug Trafficking,International drug cartel smuggling narcotics across the border,Mormugao,Video surveillance footage,K-9 Unit,Closed,Partially convicted,Yes
Kerala,1971,Car Theft,Luxury SUV stolen from a suburban driveway overnight,Malappuram,Property ownership documents,State Police Department,Closed,Convicted,Yes
Sikkim,2022,Robbery,Bank robbery with hostages,Singtam,Crime scene photographs,Traffic Enforcement Unit,Open,Partially convicted,No
Rajasthan,2018,Homicide,Mysterious death investigation,Kota,Financial transactions,Bureau of Investigation,Closed,Partially convicted,Yes
Nagaland,1974,Money Laundering,Offshore bank accounts utilized to conceal proceeds from criminal activities,Mokokchung,Expert witness testimony,Cyber Crimes Unit,Closed,Convicted,No
Tripura,2014,Burglary,Office burglary during the night,Belonia,Crime scene photographs,Bureau of Investigation,Closed,Convicted,Yes
Chhattisgarh,1990,Terrorist Attack,Chemical attack on government building leads to evacuation and decontamination efforts,Raipur,Property ownership documents,Major Crimes Unit,Closed,Partially convicted,Yes
Madhya Pradesh,1988,White-Collar Crime,Corporate espionage by rival companies,Sagar,Confession statements,K-9 Unit,Open,Not convicted,Yes
